,CustomerID,ItemCategory1,Item_Cat_1_count,Item_Cat_1_amount
212,1000028,1,9,139665
213,1000028,10,1,23209
214,1000028,11,1,5949
215,1000028,13,2,1516
216,1000028,16,2,17483
217,1000028,18,1,2323
218,1000028,3,2,13670
219,1000028,4,1,2172
220,1000028,5,17,117681
221,1000028,6,4,60606
222,1000028,8,17,132286
223,1000029,1,46,628922
224,1000029,10,1,14506
225,1000029,11,1,4522
226,1000029,15,2,29252
227,1000029,2,1,13023
228,1000029,8,1,5976
229,1000030,1,3,46024
230,1000030,11,1,3114
231,1000030,2,1,13308
232,1000030,3,1,8036
233,1000030,4,1,3423
234,1000030,5,8,47138
235,1000030,6,3,49162
236,1000030,7,2,21083
237,1000030,8,10,69697
238,1000031,1,9,143603
239,1000031,12,1,1404
240,1000031,18,1,2341
241,1000031,2,1,13288
242,1000031,3,2,21394
243,1000031,4,2,5574
244,1000031,5,46,288696
245,1000031,6,1,12072
246,1000031,8,1,7782
247,1000032,1,2,27607
248,1000032,14,1,11576
249,1000032,16,3,37792
250,1000032,3,2,19265
251,1000032,4,1,2056
252,1000032,5,3,22797
253,1000032,6,3,44041
254,1000032,8,8,63866
255,1000033,1,46,703616
256,1000033,10,2,28921
257,1000033,11,20,111519
258,1000033,12,6,8437
259,1000033,13,5,3440
260,1000033,14,1,11139
261,1000033,15,4,64361
262,1000033,16,9,152115
263,1000033,18,2,5499
264,1000033,2,6,62352
265,1000033,3,2,16779
266,1000033,4,7,12257
267,1000033,5,36,201123
268,1000033,6,10,150642
269,1000033,7,1,16800
270,1000033,8,58,391043
271,1000034,1,10,155748
272,1000034,11,5,31742
273,1000034,14,1,14891
274,1000034,16,1,12450
275,1000034,2,4,39638
276,1000034,3,5,58930
277,1000034,4,4,12733
278,1000034,5,58,386194
279,1000034,6,1,12549
280,1000034,8,10,82872
281,1000035,1,11,148155
282,1000035,10,1,18854
283,1000035,12,3,3506
284,1000035,13,1,755
285,1000035,14,1,14951
286,1000035,18,5,13804
287,1000035,3,6,46129
288,1000035,4,2,5648
289,1000035,5,42,269052
290,1000035,6,2,32596
291,1000035,8,37,267853
292,1000036,1,68,1076240
293,1000036,10,2,37396
294,1000036,11,3,18357
295,1000036,13,1,958
296,1000036,16,5,99040
297,1000036,17,1,10632
298,1000036,18,2,6891
299,1000036,2,1,9925
300,1000036,3,6,75489
301,1000036,4,2,5682
302,1000036,5,69,495028
303,1000036,6,7,131343
304,1000036,7,6,112472
305,1000036,8,26,237079
306,1000037,1,5,77784
307,1000037,11,2,3277
308,1000037,12,1,1735
309,1000037,3,2,24285
310,1000037,4,1,2777
311,1000037,5,13,94383
312,1000037,6,1,4521
313,1000037,8,5,39608
314,1000039,1,9,125331
315,1000039,15,1,4376
316,1000039,16,2,24612
317,1000039,2,3,35295
318,1000039,3,1,10880
319,1000039,4,1,1473
320,1000039,5,12,79055
321,1000039,6,3,44822
322,1000039,8,8,56133
323,1000041,1,4,77273
324,1000041,11,4,15387
325,1000041,16,1,20834
326,1000041,4,1,2820
327,1000041,5,3,14297
328,1000041,8,2,15626
329,1000042,1,74,1076427
330,1000042,10,1,23425
331,1000042,11,2,10794
332,1000042,15,5,63748
333,1000042,2,8,90496
334,1000042,3,1,10750
335,1000042,4,4,10574
336,1000042,5,21,142616
337,1000042,8,8,54179
338,1000043,1,2,31142
339,1000043,16,1,20961
340,1000043,3,2,27135
341,1000043,5,5,38138
342,1000043,8,3,20172
343,1000044,1,36,525198
344,1000044,11,8,17479
345,1000044,13,2,1166
346,1000044,16,2,29744
347,1000044,2,14,179132
348,1000044,3,8,102263
349,1000044,4,8,24433
350,1000044,5,23,153917
351,1000044,6,1,12344
352,1000044,8,18,134704
353,1000045,1,6,69854
354,1000045,12,2,2445
355,1000045,13,1,961
356,1000045,14,3,19871
357,1000045,2,5,67821
358,1000045,3,4,29589
359,1000045,4,7,14163
360,1000045,5,108,580379
361,1000045,8,26,143411
362,1000046,1,3,27503
363,1000046,11,14,105115
364,1000046,5,2,3705
365,1000046,8,1,2044
366,1000047,1,2,27828
367,1000047,5,1,6912
368,1000047,6,2,24562
369,1000047,8,9,72001
370,1000048,1,109,1323800
371,1000048,10,1,18997
372,1000048,11,8,32168
373,1000048,12,3,3875
374,1000048,13,2,1133
375,1000048,15,4,25765
376,1000048,16,2,28969
377,1000048,17,1,7736
378,1000048,18,4,10088
379,1000048,2,25,232832
380,1000048,3,17,157883
381,1000048,4,19,33760
382,1000048,5,89,474685
383,1000048,6,6,89752
384,1000048,7,1,16833
385,1000048,8,46,329635
386,1000049,1,30,423671
387,1000049,11,1,7646
388,1000049,16,1,16652
389,1000049,2,2,26149
390,1000049,3,14,140378
391,1000049,5,1,7066
392,1000049,6,2,32752
393,1000049,7,1,16376
394,1000049,8,7,61301
395,1000050,1,5,53949
396,1000050,11,1,5889
397,1000050,15,1,17370
398,1000050,16,1,12188
399,1000050,2,1,9845
400,1000050,3,1,8389
401,1000050,5,7,43776
402,1000050,8,7,47392
403,1000051,1,1,7998
404,1000051,11,1,6101
405,1000051,15,1,17271
406,1000051,16,1,16145
407,1000051,3,2,23975
408,1000051,5,15,91435
409,1000051,6,1,11946
410,1000051,8,3,25901
411,1000052,1,34,468286
412,1000052,5,6,37109
413,1000052,8,2,17644
414,1000053,1,88,1368337
415,1000053,10,3,65688
416,1000053,11,25,153641
417,1000053,12,2,3158
418,1000053,13,5,4520
419,1000053,14,1,18512
420,1000053,15,8,135157
421,1000053,16,7,120631
422,1000053,18,1,3794
423,1000053,2,24,331380
424,1000053,3,14,162765
425,1000053,4,5,12004
426,1000053,5,68,539755
427,1000053,6,24,442950
428,1000053,8,102,908079
429,1000054,1,2,30544
430,1000054,15,1,16601
431,1000054,4,1,2766
432,1000054,5,17,121131
433,1000054,8,2,16159
434,1000055,1,1,19245
435,1000055,3,2,24137
436,1000055,5,2,15710
437,1000055,6,1,12661
438,1000055,7,1,12495
439,1000055,8,6,49825
440,1000056,1,5,80898
441,1000056,3,4,53730
442,1000056,5,10,65460
443,1000056,6,5,93091
444,1000056,8,13,89681
445,1000057,1,10,113483
446,1000057,11,2,3219
447,1000057,15,1,20957
448,1000057,16,2,9294
449,1000057,2,2,10164
450,1000057,3,4,35028
451,1000057,4,2,1482
452,1000057,5,13,67327
453,1000057,6,1,12131
454,1000057,8,5,39486
455,1000058,1,94,1359050
456,1000058,10,3,70984
457,1000058,11,14,72237
458,1000058,13,6,4924
459,1000058,15,9,145139
460,1000058,16,4,74482
461,1000058,2,12,155585
462,1000058,3,7,86429
463,1000058,4,4,10557
464,1000058,5,50,354432
465,1000058,6,7,129862
466,1000058,8,49,414537
467,1000058,9,1,18123
468,1000059,1,11,135422
469,1000059,10,3,61920
470,1000059,11,3,7581
471,1000059,12,8,11884
472,1000059,13,2,1332
473,1000059,14,2,26298
474,1000059,15,1,13138
475,1000059,16,3,37910
476,1000059,18,1,3023
477,1000059,2,2,26103
478,1000059,3,2,16796
479,1000059,4,1,2074
480,1000059,5,24,146705
481,1000059,6,6,70047
482,1000059,7,1,8784
483,1000059,8,57,411051
484,1000060,1,10,137239
485,1000060,13,6,4328
486,1000060,17,1,13183
487,1000060,2,4,36346
488,1000060,3,2,24159
489,1000060,5,10,46546
490,1000060,6,1,8145
491,1000060,8,1,10034
492,1000061,1,10,102666
493,1000061,16,1,4834
494,1000061,4,1,2108
